
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                1920                    93.09                     0.24
                1921                    93.36                     0.26
                1922                    93.57                     0.21
                1923                    93.77                     0.21
                1924                    94.01                     0.24
                1925                    94.25                     0.24
                1926                    94.51                     0.26
                1927                    94.69                     0.18
                1928                    94.98                     0.29
                1929                    95.24                     0.26
                1930                    95.40                     0.16
                1931                    95.63                     0.24
                1932                    95.97                     0.34
                1933                    96.34                     0.37
                1934                    96.65                     0.31
                1935                    96.86                     0.21
                1936                    96.99                     0.13
                1937                    97.31                     0.31
                1938                    97.72                     0.42
                1939                    97.83                     0.10
                1940                    98.12                     0.29
                1941                    98.35                     0.24
                1942                    98.46                     0.10
                1943                    98.67                     0.21
                1944                    98.95                     0.29
                1945                    99.08                     0.13
                1946                    99.29                     0.21
                1947                    99.40                     0.10
                1948                    99.48                     0.08
                1949                    99.63                     0.16
                1950                    99.76                     0.13
                1951                    99.76                     0.00
                1952                    99.82                     0.05
                1953                    99.82                     0.00
                1954                    99.95                     0.13
                1955                    99.95                     0.00
                1956                   100.00                     0.05

------------------------------------------------------------------------------
Subbasin 4

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1846
  Maximum elevation: 1990
     Mean elevation: 1914.22
 Standard deviation: 35.98

              Elevation          % area up to elevation    % area of subbasin
                1846                     0.07                     0.07
                1847                     0.15                     0.07
                1848                     0.15                     0.00
                1849                     0.22                     0.07
                1850                     0.33                     0.11
                1851                     0.33                     0.00
                1852                     0.52                     0.19
                1853                     0.74                     0.22
                1854                     1.04                     0.30
                1855                     1.30                     0.26
                1856                     1.56                     0.26
                1857                     1.71                     0.15
                1858                     1.90                     0.19
                1859                     2.12                     0.22
                1860                     2.75                     0.63
                1861                     3.27                     0.52
                1862                     4.05                     0.78
                1863                     4.57                     0.52
                1864                     5.39                     0.82
                1865                     6.24                     0.85
                1866                     7.13                     0.89
                1867                     7.69                     0.56
                1868                     7.99                     0.30
                1869                     8.58                     0.59
                1870                     9.51                     0.93
                1871                    10.78                     1.26
                1872                    11.85                     1.08
                1873                    12.78                     0.93
                1874                    13.86                     1.08
                1875                    15.16                     1.30
                1876                    16.39                     1.23
                1877                    17.24                     0.85
                1878                    17.99                     0.74
                1879                    19.10                     1.11
                1880                    20.70                     1.60
                1881                    22.00                     1.30
                1882                    23.19                     1.19
                1883                    24.41                     1.23
                1884                    25.90                     1.49
                1885                    27.35                     1.45
                1886                    28.13                     0.78
                1887                    29.28                     1.15
                1888                    30.62                     1.34
                1889                    31.85                     1.23
                1890                    32.92                     1.08
                1891                    34.00                     1.08
                1892                    35.01                     1.00
                1893                    35.97                     0.97
                1894                    37.09                     1.11
                1895                    38.24                     1.15
                1896                    39.43                     1.19
                1897                    40.21                     0.78
                1898                    40.99                     0.78
                1899                    41.92                     0.93
                1900                    42.66                     0.74
                1901                    43.59                     0.93
                1902                    44.22                     0.63
                1903                    45.08                     0.85
                1904                    45.75                     0.67
                1905                    46.56                     0.82
                1906                    47.34                     0.78
                1907                    48.12                     0.78
                1908                    48.90                     0.78
                1909                    49.50                     0.59
                1910                    50.13                     0.63
                1911                    50.95                     0.82
                1912                    51.54                     0.59
                1913                    52.47                     0.93
                1914                    53.18                     0.71
                1915                    54.14                     0.97
                1916                    55.00                     0.85
                1917                    55.89                     0.89
                1918                    56.60                     0.71
                1919                    57.49                     0.89
                1920                    58.16                     0.67
                1921                    59.01                     0.85
                1922                    60.09                     1.08
                1923                    61.46                     1.37
                1924                    62.39                     0.93
                1925                    63.29                     0.89
                1926                    64.21                     0.93
                1927                    64.99                     0.78
                1928                    65.77                     0.78
                1929                    66.44                     0.67
                1930                    67.30                     0.85
                1931                    68.08                     0.78
                1932                    68.71                     0.63
                1933                    69.34                     0.63
                1934                    70.05                     0.71
                1935                    70.53                     0.48
                1936                    71.35                     0.82
                1937                    71.91                     0.56
                1938                    72.58                     0.67
                1939                    73.06                     0.48
                1940                    73.65                     0.59
                1941                    74.25                     0.59
                1942                    74.77                     0.52
                1943                    75.62                     0.85
                1944                    76.18                     0.56
                1945                    76.77                     0.59
                1946                    77.44                     0.67
                1947                    78.30                     0.85
                1948                    78.97                     0.67
                1949                    80.04                     1.08
                1950                    80.60                     0.56
                1951                    81.12                     0.52
                1952                    82.27                     1.15
                1953                    82.98                     0.71
                1954                    83.87                     0.89
                1955                    84.84                     0.97
                1956                    85.66                     0.82
                1957                    86.32                     0.67
                1958                    87.25                     0.93
                1959                    87.70                     0.45
                1960                    88.22                     0.52
                1961                    88.44                     0.22
                1962                    88.70                     0.26
                1963                    88.96                     0.26
                1964                    89.11                     0.15
                1965                    89.48                     0.37
                1966                    89.63                     0.15
                1967                    89.78                     0.15
                1968                    90.08                     0.30
                1969                    90.30                     0.22
                1970                    90.38                     0.07
                1971                    90.86                     0.48
                1972                    91.04                     0.19
                1973                    91.27                     0.22
                1974                    91.75                     0.48
                1975                    92.20                     0.45
                1976                    92.46                     0.26
                1977                    92.87                     0.41
                1978                    93.39                     0.52
                1979                    93.68                     0.30
                1980                    94.39                     0.71
                1981                    94.91                     0.52
                1982                    95.54                     0.63
                1983                    96.40                     0.85
                1984                    97.25                     0.85
                1985                    98.25                     1.00
                1986                    98.96                     0.71
                1987                    99.74                     0.78
                1988                    99.85                     0.11
                1989                    99.96                     0.11
                1990                   100.00                     0.04

------------------------------------------------------------------------------
Subbasin 5

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1791
  Maximum elevation: 1812
     Mean elevation: 1796.92
 Standard deviation: 3.69

              Elevation          % area up to elevation    % area of subbasin
                1791                     0.97                     0.97
                1792                    10.53                     9.56
                1793                    23.18                    12.64
                1794                    29.66                     6.48
                1795                    36.95                     7.29
                1796                    48.30                    11.35
                1797                    60.94                    12.64
                1798                    69.69                     8.75
                1799                    78.77                     9.08
                1800                    84.60                     5.83
                1801                    87.84                     3.24
                1802                    91.73                     3.89
                1803                    94.49                     2.76
                1804                    96.27                     1.78
                1805                    98.06                     1.78
                1806                    98.54                     0.49
                1807                    99.03                     0.49
                1808                    99.35                     0.32
                1809                    99.68                     0.32
                1810                    99.84                     0.16
                1811                    99.84                     0.00
                1812                   100.00                     0.16

------------------------------------------------------------------------------
Subbasin 6

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 1945
     Mean elevation: 1850.66
 Standard deviation: 35.03

              Elevation          % area up to elevation    % area of subbasin
                1789                     0.74                     0.74
                1790                     1.40                     0.66
                1791                     2.58                     1.18
                1792                     4.27                     1.69
                1793                     5.30                     1.03
