 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   366    12    31  2000       3      30  aqu30                     0.000          5.000        250.024         27.360          1.368         25.955         26.275          0.000          0.000          0.000          2.118          0.000          0.000          0.144          0.000          0.000          0.000
   366    12    31  2000       4      40  aqu40                     0.000          4.998        250.118         32.368          1.618         31.083         31.334          0.000          0.000          0.000          2.558          0.000          0.000          0.203          0.000          0.000          0.000
   366    12    31  2000       5      50  aqu50                     0.000          4.271        286.444         41.768          2.088         39.934         40.160          0.000          0.000          0.000          3.144          0.000          0.000          0.293          0.000          0.000          0.000
   366    12    31  2000       6      60  aqu60                     0.000          5.000        249.999         20.805          1.040         19.754         19.753          0.000          0.000          0.000          1.583          0.000          0.000          0.083          0.000          0.000          0.000
   366    12    31  2000       7      70  aqu70                     0.000          3.877        306.159         42.753          2.138         39.934         34.223          0.000          0.000          0.000          2.456          0.000          0.000          0.239          0.000          0.000          0.000
   366    12    31  2000       8      80  aqu80                     0.000          5.000        250.023         25.229          1.261         24.002         22.485          0.000          0.000          0.000          1.881          0.000          0.000          0.114          0.000          0.000          0.000
   366    12    31  2000       9      90  aqu90                     0.000          4.999        250.053         27.004          1.350         25.656         24.150          0.000          0.000          0.000          1.925          0.000          0.000          0.131          0.000          0.000          0.000
   366    12    31  2000      10       7  aqu_deep7                 0.000         19.582       2412.546          1.477          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001       1      10  aqu10                     0.000          4.995        250.264         34.800          1.740         33.928         37.835          0.000          0.000          0.000          2.528          0.000          0.000          0.263          0.000          0.000          0.000
   365    12    31  2001       2      20  aqu20                     0.000          4.999        250.028         28.210          1.410         26.818         30.622          0.000          0.000          0.000          2.022          0.000          0.000          0.173          0.000          0.000          0.000
