 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn          sw      sw_300     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1991      79      79  hru79                604.511       0.000       0.000     225.669       0.926     226.594      30.788     257.224       0.000       0.000     257.224     225.669      93.888     220.713      11.938       0.000    2064.682       0.000       0.000       0.000       0.000       0.000     225.669       0.000       0.000       0.926       0.000       0.000
   365    12    31  1991      80      80  hru80                604.511       0.000       0.000     126.540      55.183     181.723      15.196     325.313       0.000      67.016     258.297     126.540      88.492     189.172       8.857       0.000    2060.704       0.000       0.000       0.000       0.000       0.000     126.540       0.000       0.000      55.183       0.000       0.000
   365    12    31  1991      81      81  hru81                604.511       0.000       0.000     122.314      67.541     189.855      13.943     325.494       0.000      66.951     258.543     122.314      88.135     184.142       8.858       0.000    2059.848       0.000       0.000       0.000       0.000       0.000     122.314       0.000       0.000      67.541       0.000       0.000
   365    12    31  1991      82      82  hru82                604.511       0.000       0.000     123.439      64.157     187.596      14.283     325.470       0.000      66.972     258.498     123.439      88.233     185.507       8.858       0.000    2059.909       0.000       0.000       0.000       0.000       0.000     123.439       0.000       0.000      64.157       0.000       0.000
   365    12    31  1991      83      83  hru83                604.511       0.000       0.000     124.637      60.361     184.999      14.649     325.557       0.000      67.006     258.551     124.637      88.337     186.980       8.858       0.000    2059.068       0.000       0.000       0.000       0.000       0.000     124.637       0.000       0.000      60.361       0.000       0.000
   365    12    31  1991      84      84  hru84                604.511       0.000       0.000     126.603      54.517     181.120      15.231     325.552       0.000      67.043     258.508     126.603      88.502     189.316       8.857       0.000    2058.821       0.000       0.000       0.000       0.000       0.000     126.603       0.000       0.000      54.517       0.000       0.000
   365    12    31  1991      85      85  hru85                604.511       0.000       0.000     141.911       9.994     151.905      19.374     324.980       0.000      67.211     257.769     141.911      89.629     205.938       8.845       0.000    2060.096       0.000       0.000       0.000       0.000       0.000     141.911       0.000       0.000       9.994       0.000       0.000
   365    12    31  1991      86      86  hru86                604.511       0.000       0.000     125.494      57.916     183.409      14.900     325.498       0.000      67.016     258.482     125.494      88.409     187.986       8.858       0.000    2059.413       0.000       0.000       0.000       0.000       0.000     125.494       0.000       0.000      57.916       0.000       0.000
   365    12    31  1991      87      87  hru87                604.511       0.000       0.000     122.086      68.226     190.312      13.874     325.501       0.000      66.947     258.555     122.086      88.115     183.864       8.858       0.000    2059.812       0.000       0.000       0.000       0.000       0.000     122.086       0.000       0.000      68.226       0.000       0.000
   365    12    31  1991      88      88  hru88                604.511       0.000       0.000     125.929      56.505     182.434      15.032     325.554       0.000      67.031     258.523     125.929      88.446     188.520       8.858       0.000    2058.907       0.000       0.000       0.000       0.000       0.000     125.929       0.000       0.000      56.505       0.000       0.000
   365    12    31  1991      89      89  hru89                604.511       0.000       0.000     126.010      56.561     182.572      15.047     325.409       0.000      67.016     258.392     126.010      88.450     188.574       8.857       0.000    2060.036       0.000       0.000       0.000       0.000       0.000     126.010       0.000       0.000      56.561       0.000       0.000
   365    12    31  1991      90      90  hru90                604.511       0.000       0.000     125.933      56.642     182.575      15.029     325.481       0.000      67.023     258.458     125.933      88.445     188.503       8.857       0.000    2059.476       0.000       0.000       0.000       0.000       0.000     125.933       0.000       0.000      56.642       0.000       0.000
   365    12    31  1991      91      91  hru91                604.511       0.000       0.000     126.258      55.700     181.958      15.124     325.471       0.000      67.028     258.443     126.258      88.472     188.885       8.857       0.000    2059.512       0.000       0.000       0.000       0.000       0.000     126.258       0.000       0.000      55.700       0.000       0.000
