 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991      42      42  cha42                0.2083E+00     0.0000E+00     0.2083E+00     0.1096E+00     0.1833E-04     0.1794E+02     0.9167E-05     0.9167E-05    -0.1776E+02     0.1776E+02     0.0000E+00     0.1886E+00     0.3560E+00     0.2164E+00     0.6790E-01     0.9429E-01     0.0000E+00     0.2194E-01
   365    12    31  1991      43      43  cha43                0.1541E+00     0.0000E+00     0.1541E+00     0.8105E-01     0.8316E-07     0.6374E+02     0.4158E-07     0.4158E-07    -0.6367E+02     0.6367E+02     0.0000E+00     0.7728E-01     0.4033E+00     0.3253E+00     0.6363E-01     0.1749E+00     0.0000E+00     0.7306E-02
   365    12    31  1991      44      44  cha44                0.1530E+00     0.0000E+00     0.1530E+00     0.8050E-01     0.8924E-05     0.7756E+01     0.4462E-05     0.4462E-05    -0.7629E+01     0.7629E+01     0.0000E+00     0.1270E+00     0.3024E+00     0.5470E+00     0.1834E+00     0.2304E+00     0.0000E+00     0.1940E-01
   365    12    31  1991      45      45  cha45                0.3012E+00     0.0000E+00     0.3012E+00     0.1584E+00     0.1427E-04     0.1815E+03     0.7136E-05     0.7136E-05    -0.1812E+03     0.1812E+03     0.0000E+00     0.2444E+00     0.4003E+00     0.2828E+01     0.2353E+00     0.1034E+01     0.0000E+00     0.2340E-01
   365    12    31  1991      46      46  cha46                0.3846E+00     0.0000E+00     0.3846E+00     0.2023E+00     0.1788E-04     0.1256E+03     0.8942E-05     0.8942E-05    -0.1252E+03     0.1252E+03     0.0000E+00     0.3563E+00     0.4652E+00     0.6195E+00     0.5677E-01     0.2400E+00     0.0000E+00     0.2655E-01
   365    12    31  1991      47      47  cha47                0.1637E+00     0.0000E+00     0.1637E+00     0.8613E-01     0.1511E-04     0.1217E+03     0.7553E-05     0.7553E-05    -0.1216E+03     0.1216E+03     0.0000E+00     0.1309E+00     0.3078E+00     0.5021E+01     0.7505E+00     0.1804E+01     0.0000E+00     0.1942E-01
   365    12    31  1991      48      48  cha48                0.2351E+00     0.0000E+00     0.2350E+00     0.1236E+00     0.1638E-04     0.8243E+01     0.8189E-05     0.8189E-05    -0.8001E+01     0.8001E+01     0.0000E+00     0.2415E+00     0.3911E+00     0.8587E-01     0.3582E-01     0.1548E-01     0.0000E+00     0.2403E-01
   365    12    31  1991      49      49  cha49                0.3379E+00     0.0000E+00     0.3379E+00     0.1777E+00     0.1788E-04     0.4016E+03     0.8940E-05     0.8940E-05    -0.4013E+03     0.4013E+03     0.0000E+00     0.2709E+00     0.4256E+00     0.2511E+01     0.2005E+00     0.9495E+00     0.0000E+00     0.2341E-01
   365    12    31  1991      50      50  cha50                0.3284E+00     0.0000E+00     0.3283E+00     0.1727E+00     0.1469E-04     0.5271E+02     0.7346E-05     0.7346E-05    -0.5243E+02     0.5243E+02     0.0000E+00     0.2829E+00     0.4241E+00     0.2045E+00     0.3341E-01     0.9544E-01     0.0000E+00     0.2459E-01
   365    12    31  1991      51      51  cha51                0.2788E+00     0.0000E+00     0.2788E+00     0.1467E+00     0.1329E-04     0.2001E+01     0.6646E-05     0.6646E-05    -0.1784E+01     0.1784E+01     0.0000E+00     0.2170E+00     0.3817E+00     0.6430E-01     0.1080E-01     0.4618E-02     0.0000E+00     0.2248E-01
   365    12    31  1991      52      52  cha52                0.3113E+00     0.0000E+00     0.3113E+00     0.1637E+00     0.2081E-04     0.3020E+03     0.1041E-04     0.1041E-04    -0.3016E+03     0.3016E+03     0.0000E+00     0.3504E+00     0.4555E+00     0.1171E+01     0.1741E+00     0.5188E+00     0.0000E+00     0.2704E-01
   365    12    31  1991      53      53  cha53                0.3357E+02     0.0000E+00     0.3356E+02     0.1766E+02     0.3937E-04     0.2839E+03     0.1969E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2839E+03     0.6998E+01     0.4014E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.2308E+00
   365    12    31  1991      54      54  cha54                0.3071E+02     0.0000E+00     0.3070E+02     0.1615E+02     0.1528E-03     0.2524E+03     0.7638E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2524E+03     0.6665E+01     0.3885E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.2226E+00
   365    12    31  1991      55      55  cha55                0.8508E+01     0.0000E+00     0.8508E+01     0.4475E+01     0.5852E-04     0.2524E+04     0.2926E-04     0.2926E-04    -0.2490E+04     0.2490E+04     0.0000E+00     0.3390E+02     0.2943E+01     0.1047E+01     0.2482E-01     0.3557E+00     0.0000E+00     0.1167E+00
